Variable,M1_Std_Coef,M1_Std_SE,M1_Std_tstat,M1_Std_pval,M1_Std_Stars,M2_HC3_Coef,M2_HC3_SE,M2_HC3_tstat,M2_HC3_pval,M2_HC3_Stars,M3_Interact_Coef,M3_Interact_SE,M3_Interact_tstat,M3_Interact_pval,M3_Interact_Stars
Constant,0.0736,0.0404,1.822,0.0694,*,0.0736,0.0459,1.604,0.1087,,0.0630,0.0463,1.361,0.1734,
Real Price (t−1)  [$/gal],0.9752,0.0117,83.379,0.0000,***,0.9752,0.0159,61.431,0.0000,***,0.9757,0.0159,61.546,0.0000,***
"NEC_HDD (lag 1)   [per HDD, EIA]",1.1409e-05,2.6897e-05,0.424,0.6718,,1.1409e-05,2.8457e-05,0.401,0.6885,,2.9049e-05,3.3433e-05,0.869,0.3849,
Heating Season    [Oct–Mar=1],0.0210,0.0232,0.904,0.3665,,0.0210,0.0253,0.830,0.4066,,0.0208,0.0252,0.826,0.4089,
Post-2014 Dummy   [shale era],-0.0225,0.0199,-1.130,0.2592,,-0.0225,0.0204,-1.103,0.2701,,-0.0026,0.0287,-0.091,0.9275,
HDD × Post-2014   [interaction],—,—,—,—,—,—,—,—,—,—,-3.8504e-05,4.5573e-05,-0.845,0.3982,
